,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,101,0,0,0,0
Brute Force,0,91,0,0,10
DoS/DDoS,0,0,98,2,1
Normal,1,0,0,99,1
Web Attack,0,8,1,0,92
